CustomerID,SimilarCustomerID,SimilarityScore
C0001,C0152,0.999960420730122
C0001,C0174,0.9915621409288573
C0001,C0064,0.981382776323037
C0002,C0062,0.9882568654507237
C0002,C0159,0.9871343528659943
C0002,C0133,0.9809009120483413
C0003,C0166,0.997413748706392
C0003,C0031,0.9875000540896965
C0003,C0026,0.9816640021020276
C0004,C0012,0.9869900614747447
C0004,C0065,0.9472627945405806
C0004,C0148,0.8465804616719589
C0005,C0197,0.9998160569434038
C0005,C0007,0.9947831242499192
C0005,C0140,0.9901390676107907
C0006,C0079,0.9999813060851543
C0006,C0196,0.9832208251901415
C0006,C0187,0.9714292549556655
C0007,C0005,0.9947831242499192
C0007,C0197,0.9926435959213522
C0007,C0140,0.9837948128149763
C0008,C0109,0.9805640115313331
C0008,C0093,0.9649747519661986
C0008,C0017,0.9551141632046246
C0009,C0198,0.9922725673481924
C0009,C0092,0.9324008890751958
C0009,C0072,0.9034621601729469
C0010,C0142,0.9956163491986606
C0010,C0132,0.9885891819532795
C0010,C0061,0.9854709871437792
C0011,C0107,0.9997066604093312
C0011,C0183,0.9996256226814096
C0011,C0016,0.9994602218764935
C0012,C0004,0.9869900614747447
C0012,C0148,0.9194107734301277
C0012,C0018,0.9151242583786304
C0013,C0087,0.9955409922911685
C0013,C0155,0.994096582859369
C0013,C0099,0.9880952071738454
C0014,C0151,0.9999295269705575
C0014,C0097,0.999745024004718
C0014,C0060,0.9995690451118406
C0015,C0123,0.9991773706602589
C0015,C0071,0.9899179313115269
C0015,C0131,0.9830050365369142
C0016,C0183,0.9999849088752903
C0016,C0011,0.9994602218764935
C0016,C0107,0.9983713714897408
C0017,C0162,0.9999299575850648
C0017,C0113,0.9998987055386818
C0017,C0093,0.9888935995546534
C0018,C0148,0.9876625083451783
C0018,C0064,0.9808141200473539
C0018,C0152,0.9284540088958041
C0019,C0191,0.9745574582741804
C0019,C0125,0.9353754818357667
C0019,C0070,0.9302681320989912
C0020,C0130,0.9991699505611604
C0020,C0120,0.9545483647088
C0020,C0198,0.8366403081968387
